Enochian,Meaning,Category,Root,Gematria,Confidence,Derivation
MIC,"behold (imperative, general)",verb,MIC,151,0.70,verb_conjugation > imperative > general
MICAH,"behold (perfect, general)",verb,MIC,158,0.70,verb_conjugation > perfect > general
MICALP,might,original,MIC,189,1.00,original_corpus
MICALZ,mighty,original,MIC,188,1.00,original_corpus
MICALZO,mighty,original,MIC,218,1.00,original_corpus
MICAR,"behold (present, general)",verb,MIC,257,0.70,verb_conjugation > present > general
MICIZI,"behold (past, general)",verb,MIC,278,0.70,verb_conjugation > past > general
MICLAPIRGE,speak,actions,MIC,368,0.70,markov_generation
MICMA,behold,original,MIC,247,1.00,original_corpus
MICMAIR,spirit,divine,MIC,407,0.70,morphological_derivation > behold + mercy/peace
MICOLU,"behold (future, general)",verb,MIC,207,0.70,verb_conjugation > future > general
MILA,spirit (extended),extended,MIL,180,0.50,markov_extension
MILASAANII,becoming (extended),extended,MIL,366,0.50,markov_extension
MILODZIR,peace,emotions,MIL,374,0.70,markov_generation
MIRC,upon,original,MIR,251,1.00,original_corpus
MNA,worship (extended),extended,MNA,146,0.50,markov_extension
MNAH,south,directions,MNA,147,0.70,markov_generation
MNONONS,think,original,MNO,304,1.00,original_corpus
MNOTH,create,actions,MNO,180,0.70,markov_generation
MOMA,mystery (extended),extended,MOM,216,0.50,markov_extension
MOMAN,becoming (extended),extended,MOM,266,0.50,markov_extension
MOMAR,crown,original,MOM,316,1.00,original_corpus
MOMICMADAH,infinite,numbers,MOM,377,0.70,markov_generation
MOMS,creature (extended),extended,MOM,214,0.50,markov_extension
MONODARZM,above (extended),extended,MON,406,0.50,markov_extension
MOZ,joy,original,MOZ,127,1.00,original_corpus
NACO,servant,original,NAC,87,1.00,original_corpus
NAELHOLN,rise (extended),extended,NAE,194,0.50,markov_extension
NAELISI,rise (extended),extended,NAE,213,0.50,markov_extension
NANBA,thorns,original,NAN,117,1.00,original_corpus
NAZPSAD,sword,original,NAZ,84,1.00,original_corpus
NI,twenty-eight,original,NI,110,1.00,original_corpus
NII,"come (imperative, general)",verb,NII,170,0.70,verb_conjugation > imperative > general
NIIAH,"come (perfect, general)",verb,NII,177,0.70,verb_conjugation > perfect > general
NIIAR,"come (present, general)",verb,NII,276,0.70,verb_conjugation > present > general
NIIIZI,"come (past, general)",verb,NII,297,0.70,verb_conjugation > past > general
NIIOLU,"come (future, general)",verb,NII,226,0.70,verb_conjugation > future > general
NIIS,come (variant),original,NII,174,1.00,original_corpus
NIISO,come,original,NII,204,1.00,original_corpus
NILS,human (extended),extended,NIL,138,0.50,markov_extension
NINOS,fear,emotions,NIN,194,0.70,morphological_derivation > mind + made/twelve
NOA,pronoun form (NO),grammar,NO,86,0.60,pronoun_generation
NOAA,harmony,abstract,NOA,92,0.70,markov_generation
NOAN,become,original,NOA,136,1.00,original_corpus
NOASMI,ministers,original,NOA,240,1.00,original_corpus
NOATB,age,temporal,NOA,100,0.70,markov_generation
NOATHISAG,head (extended),extended,NOA,176,0.50,markov_extension
NOBAL,ice (extended),extended,NOB,115,0.50,markov_extension
NOBLOH,palaces,original,NOB,140,1.00,original_corpus
NOBOANETHA,tower (extended),extended,NOB,196,0.50,markov_extension
NOBOODAM,illuminate (extended),extended,NOB,244,0.50,markov_extension
NOCORDZIZON,void,cosmic,NOC,368,0.70,morphological_derivation > negation/servant + reason + appearing/faith
NOI,pronoun form (NO),grammar,NO,140,0.60,pronoun_generation
NOIB,yoke,original,NOI,145,1.00,original_corpus
NOIS,pronoun form (NO),grammar,NO,144,0.60,pronoun_generation
NON,dark,qualities,NON,130,0.70,markov_generation
NONCA,you,original,NON,137,1.00,original_corpus
NONCASMIAD,fire (extended),extended,NON,300,0.50,markov_extension
NONCF,you (variant),original,NON,139,1.00,original_corpus
NOND,love (extended),extended,NON,133,0.50,markov_extension
NONG,becoming,existential,NON,140,0.70,markov_generation
NONSH,listen (extended),extended,NON,135,0.50,markov_extension
NOO,pronoun form (NO),grammar,NO,110,0.60,pronoun_generation
NOR,despair (extended),extended,NOR,180,0.50,markov_extension
NORZ,six,original,NOR,187,1.00,original_corpus
NOTHO,within,directions,NOT,120,0.70,markov_generation
NOTHOA,south,original,NOT,126,1.00,original_corpus
NOV,through,preposition,NOV,82,0.65,preposition_generation
NOVA,through,preposition,NOV,88,0.65,preposition_generation
NOVI,through,preposition,NOV,142,0.65,preposition_generation
NOVO,through,preposition,NOV,112,0.65,preposition_generation
NOZCHAN,dawn,temporal,NOZ,145,0.70,morphological_derivation > negation/servant + are + secret/truth
NOZEN,matter,existential,NOZ,146,0.70,morphological_derivation > negation/servant + sacrifice
O,five/of,original,O,30,1.00,original_corpus
OAGOHED,mind,existential,OAG,89,0.70,morphological_derivation > great/mighty + saith
OALI,eyes,original,OAL,120,1.00,original_corpus
OAN,awe (extended),extended,OAN,86,0.50,markov_extension
OANU,infinite (extended),extended,OAN,88,0.50,markov_extension
OAOOAOAIR,anger,emotions,OAO,298,0.70,morphological_derivation > great/mighty + eye + mercy/peace
OAOXEX,listen,actions,OAO,875,0.70,markov_generation
OAS,giant (extended),extended,OAS,40,0.50,markov_extension
OATURBS,above,directions,OAT,156,0.70,morphological_derivation > great/mighty + beauty (variant)
OAZONRENSGZI,hand,body,OAZ,363,0.70,morphological_derivation > great/mighty + deliver + being/am
OBALB,awe,emotions,OBA,70,0.70,markov_generation
OBELISONG,marble,original,OBE,222,1.00,original_corpus
OBZA,robe,original,OBZ,48,1.00,original_corpus
OBZACRIPSO,season (extended),extended,OBZ,251,0.50,markov_extension
OD,and,original,OD,33,1.00,original_corpus
ODAHALPAAN,center (extended),extended,ODA,140,0.50,markov_extension
ODO,power (extended),extended,ODO,63,0.50,markov_extension
OHIO,woe,original,OHI,121,1.00,original_corpus
OHIORA,center,directions,OHI,227,0.70,morphological_derivation > woe + bride
OHOAS,bird (extended),extended,OHO,71,0.50,markov_extension
OHOLOGONON,iron,materials,OHO,285,0.70,markov_generation
OHOLP,order (extended),extended,OHO,93,0.50,markov_extension
OHORELA,made,original,OHO,200,1.00,original_corpus
OHUSD,thunder,elements,OHU,40,0.70,markov_generation
OI,this,original,OI,90,1.00,original_corpus
OIAD,God (variant),original,OIA,99,1.00,original_corpus
OIARZM,east (extended),extended,OIA,293,0.50,markov_extension
OIV,knowledge (extended),extended,OIV,92,0.50,markov_extension
OL,I/me,original,OL,54,1.00,original_corpus
OLA,pronoun form (OL),grammar,OL,60,0.60,pronoun_generation
OLAN,pronoun form (OL),grammar,OL,110,0.60,pronoun_generation
OLBOG,"reign (imperative, first person)",verb,BOG,99,0.70,verb_conjugation > imperative > first person
OLBOGAH,"reign (perfect, first person)",verb,BOG,106,0.70,verb_conjugation > perfect > first person
OLBOGAR,"reign (present, first person)",verb,BOG,205,0.70,verb_conjugation > present > first person
OLBOGIZI,"reign (past, first person)",verb,BOG,226,0.70,verb_conjugation > past > first person
OLBOGOLU,"reign (future, first person)",verb,BOG,155,0.70,verb_conjugation > future > first person
OLD,water (extended),extended,OLD,57,0.50,markov_extension
OLDAR,"obey (imperative, first person)",verb,DAR,163,0.70,verb_conjugation > imperative > first person
OLDARAH,"obey (perfect, first person)",verb,DAR,170,0.70,verb_conjugation > perfect > first person
OLDARAR,"obey (present, first person)",verb,DAR,269,0.70,verb_conjugation > present > first person
OLDARIZI,"obey (past, first person)",verb,DAR,290,0.70,verb_conjugation > past > first person
OLDAROLU,"obey (future, first person)",verb,DAR,219,0.70,verb_conjugation > future > first person
OLGOH,"say (imperative, first person)",verb,GOH,95,0.70,verb_conjugation > imperative > first person
OLGOHAH,"say (perfect, first person)",verb,GOH,102,0.70,verb_conjugation > perfect > first person
OLGOHAR,"say (present, first person)",verb,GOH,201,0.70,verb_conjugation > present > first person
OLGOHIZI,"say (past, first person)",verb,GOH,222,0.70,verb_conjugation > past > first person
OLGOHOLU,"say (future, first person)",verb,GOH,151,0.70,verb_conjugation > future > first person
OLI,pronoun form (OL),grammar,OL,114,0.60,pronoun_generation
OLIS,pronoun form (OL),grammar,OL,118,0.60,pronoun_generation
OLLAPH,moon (extended),extended,OLL,93,0.50,markov_extension
OLMIC,"behold (imperative, first person)",verb,MIC,205,0.70,verb_conjugation > imperative > first person
OLMICAH,"behold (perfect, first person)",verb,MIC,212,0.70,verb_conjugation > perfect > first person
OLMICAR,"behold (present, first person)",verb,MIC,311,0.70,verb_conjugation > present > first person
OLMICIZI,"behold (past, first person)",verb,MIC,332,0.70,verb_conjugation > past > first person
OLMICOLU,"behold (future, first person)",verb,MIC,261,0.70,verb_conjugation > future > first person
OLN,make,original,OLN,104,1.00,original_corpus
OLNII,"come (imperative, first person)",verb,NII,224,0.70,verb_conjugation > imperative > first person
OLNIIAH,"come (perfect, first person)",verb,NII,231,0.70,verb_conjugation > perfect > first person
OLNIIAR,"come (present, first person)",verb,NII,330,0.70,verb_conjugation > present > first person
OLNIIIZI,"come (past, first person)",verb,NII,351,0.70,verb_conjugation > past > first person
OLNIIOLU,"come (future, first person)",verb,NII,280,0.70,verb_conjugation > future > first person
OLO,flesh,body,OLO,84,0.70,markov_generation
OLOGO,man,original,OLO,124,1.00,original_corpus
OLOMP,"understand (imperative, first person)",verb,OMP,182,0.70,verb_conjugation > imperative > first person
OLOMPAH,"understand (perfect, first person)",verb,OMP,189,0.70,verb_conjugation > perfect > first person
OLOMPAR,"understand (present, first person)",verb,OMP,288,0.70,verb_conjugation > present > first person
OLOMPIZI,"understand (past, first person)",verb,OMP,309,0.70,verb_conjugation > past > first person
OLOMPOLU,"understand (future, first person)",verb,OMP,238,0.70,verb_conjugation > future > first person
OLORA,man (variant),original,OLO,190,1.00,original_corpus
OLP,strong,qualities,OLP,62,0.70,markov_generation
OLPAID,breath (extended),extended,OLP,131,0.50,markov_extension
OLPETA,fire (extended),extended,OLP,86,0.50,markov_extension
OLPIRT,light,original,OLP,231,1.00,original_corpus
OLPONF,sky (extended),extended,OLP,150,0.50,markov_extension
OLQUA,"destroy (imperative, first person)",verb,QUA,102,0.70,verb_conjugation > imperative > first person
OLQUAAH,"destroy (perfect, first person)",verb,QUA,109,0.70,verb_conjugation > perfect > first person
OLQUAAR,"destroy (present, first person)",verb,QUA,208,0.70,verb_conjugation > present > first person
OLQUAIZI,"destroy (past, first person)",verb,QUA,229,0.70,verb_conjugation > past > first person
OLQUAOLU,"destroy (future, first person)",verb,QUA,158,0.70,verb_conjugation > future > first person
OLTOR,"arise (imperative, first person)",verb,TOR,193,0.70,verb_conjugation > imperative > first person
OLTORAH,"arise (perfect, first person)",verb,TOR,200,0.70,verb_conjugation > perfect > first person
OLTORAR,"arise (present, first person)",verb,TOR,299,0.70,verb_conjugation > present > first person
OLTORIZI,"arise (past, first person)",verb,TOR,320,0.70,verb_conjugation > past > first person
OLTOROLU,"arise (future, first person)",verb,TOR,249,0.70,verb_conjugation > future > first person
OLZAC,"move (imperative, first person)",verb,ZAC,68,0.70,verb_conjugation > imperative > first person
OLZACAH,"move (perfect, first person)",verb,ZAC,75,0.70,verb_conjugation > perfect > first person
OLZACAR,"move (present, first person)",verb,ZAC,174,0.70,verb_conjugation > present > first person
OLZACIZI,"move (past, first person)",verb,ZAC,195,0.70,verb_conjugation > past > first person
OLZACOLU,"move (future, first person)",verb,ZAC,124,0.70,verb_conjugation > future > first person
OLZAM,"appear (imperative, first person)",verb,ZAM,157,0.70,verb_conjugation > imperative > first person
OLZAMAH,"appear (perfect, first person)",verb,ZAM,164,0.70,verb_conjugation > perfect > first person
OLZAMAR,"appear (present, first person)",verb,ZAM,263,0.70,verb_conjugation > present > first person
OLZAMIZI,"appear (past, first person)",verb,ZAM,284,0.70,verb_conjugation > past > first person
OLZAMOLU,"appear (future, first person)",verb,ZAM,213,0.70,verb_conjugation > future > first person
OMADAMI,blessing (extended),extended,OMA,285,0.50,markov_extension
OMARS,blood (extended),extended,OMA,230,0.50,markov_extension
OMAX,know,original,OMA,526,1.00,original_corpus
OMP,understand,original,OMP,128,1.00,original_corpus
OMPAH,"understand (perfect, general)",verb,OMP,135,0.70,verb_conjugation > perfect > general
OMPAR,"understand (present, general)",verb,OMP,234,0.70,verb_conjugation > present > general
OMPIZI,"understand (past, general)",verb,OMP,255,0.70,verb_conjugation > past > general
OMPOLU,"understand (future, general)",verb,OMP,184,0.70,verb_conjugation > future > general
OOAANU,eternal (extended),extended,OOA,124,0.50,markov_extension
OOANAN,west,directions,OOA,172,0.70,morphological_derivation > one eye + secret/truth
OOANETABOL,sorrow (extended),extended,OOA,199,0.50,markov_extension
OOANOAN,one eye,original,OOA,202,1.00,original_corpus
OOAOAAN,eye,original,OOA,158,1.00,original_corpus
OPE,unto,original,OPE,47,1.00,original_corpus
OPETHILZAC,wisdom,abstract,OPE,155,0.70,markov_generation
OR,twelve,original,OR,130,1.00,original_corpus
ORAL,illuminate (extended),extended,ORA,160,0.50,markov_extension
ORDZIAIALP,sky,cosmic,ORD,304,0.70,markov_generation
ORG,worship (extended),extended,ORG,140,0.50,markov_extension
ORRI,bark,original,ORR,290,1.00,original_corpus
ORRIAH,thousand,numbers,ORR,297,0.70,morphological_derivation > bark + creation/works
ORS,darkness,original,ORS,134,1.00,original_corpus
ORSAANETH,night (extended),extended,ORS,215,0.50,markov_extension
ORSAGIAIAL,hope (extended),extended,ORS,306,0.50,markov_extension
ORSCOR,drunken,original,ORS,265,1.00,original_corpus
ORZ,perfect,qualities,ORZ,137,0.70,markov_generation
ORZULP,bone (extended),extended,ORZ,171,0.50,markov_extension
ORZULPON,fear (extended),extended,ORZ,251,0.50,markov_extension
OS,twelve (variant),original,OS,34,1.00,original_corpus
OSGI,day,temporal,OSG,104,0.70,markov_generation
OSGIPAAN,pure (extended),extended,OSG,174,0.50,markov_extension
OSGONCF,form (extended),extended,OSG,133,0.50,markov_extension
OSORE,twelve,original,OSO,173,1.00,original_corpus
OTH,season (extended),extended,OTH,40,0.50,markov_extension
OTHI,one (extended),extended,OTH,100,0.50,markov_extension
OTHIL,seat,original,OTH,124,1.00,original_corpus
OV,between,preposition,OV,32,0.65,preposition_generation
OVA,between,preposition,OV,38,0.65,preposition_generation
OVI,between,preposition,OV,92,0.65,preposition_generation
OVO,between,preposition,OV,62,0.65,preposition_generation
OVOF,magnified,original,OVO,70,1.00,original_corpus
OXEX,vex,original,OXE,839,1.00,original_corpus
OXIAIDA,order,abstract,OXI,565,0.70,markov_generation
OXIAYAL,mighty seat,original,OXI,586,1.00,original_corpus
OXO,twenty-six,original,OXO,460,1.00,original_corpus
OXOETG,head,body,OXO,488,0.70,morphological_derivation > twenty-six + seal
OYVB,truth,original,OYV,97,1.00,original_corpus
P,eight,original,P,8,1.00,original_corpus
PAAOX,always,original,PAA,450,1.00,original_corpus
PAEB,marry,original,PAE,28,1.00,original_corpus
PAH,thought (extended),extended,PAH,15,0.50,markov_extension
PAID,always,original,PAI,77,1.00,original_corpus
PAMBT,unto me,original,PAM,118,1.00,original_corpus
PAMI,dawn (extended),extended,PAM,164,0.50,markov_extension
PAMSAD,beast (extended),extended,PAM,117,0.50,markov_extension
PANIIS,celestial (extended),extended,PAN,188,0.50,markov_extension
PANPIR,continual,original,PAN,232,1.00,original_corpus
PAR,in them,original,PAR,114,1.00,original_corpus
PARA,around,preposition,PAR,120,0.65,preposition_generation
PARADIZ,virgins,original,PAR,190,1.00,original_corpus
PARAOAN,bride,original,PAR,206,1.00,original_corpus
PARGEH,hand (extended),extended,PAR,134,0.50,markov_extension
PARI,around,preposition,PAR,174,0.65,preposition_generation
PARMADIX,wise (extended),extended,PAR,673,0.50,markov_extension
PARO,around,preposition,PAR,144,0.65,preposition_generation
PATHMOZ,river (extended),extended,PAT,151,0.50,markov_extension
PATRALX,rock,original,PAT,553,1.00,original_corpus
PATRINU,west (extended),extended,PAT,235,0.50,markov_extension
PATRIP,mouth (extended),extended,PAT,191,0.50,markov_extension
PAZ,number,original,PAZ,21,1.00,original_corpus
PERIPSOL,heavens,original,PER,243,1.00,original_corpus
PIADPH,virgins,original,PIA,86,1.00,original_corpus
PIL,water (extended),extended,PIL,92,0.50,markov_extension
PILA,great (extended),extended,PIL,98,0.50,markov_extension
PILD,place,original,PIL,95,1.00,original_corpus
PILONOD,small (extended),extended,PIL,205,0.50,markov_extension
PILP,angel,beings,PIL,100,0.70,markov_generation
PILZIN,right,original,PIL,209,1.00,original_corpus
PIRIPSOL,heavens (firmament),original,PIR,294,1.00,original_corpus
PIRZU,gate (extended),extended,PIR,177,0.50,markov_extension
PIS,illuminate,actions,PIS,72,0.70,markov_generation
PLAPLI,parts,original,PLA,130,1.00,original_corpus
POI,sorrow,emotions,POI,98,0.70,markov_generation
POILP,divide,original,POI,130,1.00,original_corpus
PONDOLOHUS,gold,materials,PON,182,0.70,markov_generation
PONODOL,despair,original,PON,175,1.00,original_corpus
PRD,dusk (extended),extended,PRD,111,0.50,markov_extension
PRDOOAN,eye (extended),extended,PRD,227,0.50,markov_extension
PRDZAR,garments,original,PRD,224,1.00,original_corpus
PRDZIL,angel (extended),extended,PRD,202,0.50,markov_extension
PRDZIRDZIR,angel (extended),extended,PRD,448,0.50,markov_extension
PRGE,fire,original,PRG,127,1.00,original_corpus
PRIAZIAR,feast,original,PRI,347,1.00,original_corpus
PRITAX,matter (extended),extended,PRI,583,0.50,markov_extension
PUIM,marriage,original,PUI,160,1.00,original_corpus
Q,thy,original,Q,40,1.00,original_corpus
QAAH,angel,divine,QAA,53,0.70,markov_generation
QAAL,creatures,original,QAA,76,1.00,original_corpus
QAAN,temple,places,QAA,102,0.70,markov_generation
QAAS,said,original,QAA,56,1.00,original_corpus
QTING,the,original,QTI,169,1.00,original_corpus
QTINGAX,sand,materials,QTI,575,0.70,morphological_derivation > the + place/seat
QUA,"destroy (imperative, general)",verb,QUA,48,0.70,verb_conjugation > imperative > general
QUAAH,"destroy (perfect, general)",verb,QUA,55,0.70,verb_conjugation > perfect > general
QUAAR,"destroy (present, general)",verb,QUA,154,0.70,verb_conjugation > present > general
QUAD,dream (extended),extended,QUA,51,0.50,markov_extension
QUAETH,infinite,qualities,QUA,67,0.70,morphological_derivation > please + hearken
QUAIZI,"destroy (past, general)",verb,QUA,175,0.70,verb_conjugation > past > general
QUAOLU,"destroy (future, general)",verb,QUA,104,0.70,verb_conjugation > future > general
QUARSAG,void (extended),extended,QUA,168,0.50,markov_extension
QUASAHI,please,original,QUA,119,1.00,original_corpus
QUASB,destroy,original,QUA,57,1.00,original_corpus
QUASGONPIL,sorrow (extended),extended,QUA,234,0.50,markov_extension
QUIIN,all,original,QUI,212,1.00,original_corpus
QUIINIRT,prayer (extended),extended,QUI,381,0.50,markov_extension
QUIIS,essence (extended),extended,QUI,166,0.50,markov_extension
QUIISAMICM,chaos (extended),extended,QUI,413,0.50,markov_extension
QURANU,dark (extended),extended,QUR,200,0.50,markov_extension
QURLST,handmaidens,original,QUR,179,1.00,original_corpus
R,twelve,original,R,100,1.00,original_corpus
RID,infinite (extended),extended,RID,163,0.50,markov_extension
RIPSAH,star,cosmic,RIP,179,0.70,markov_generation
RIT,mercy,original,RIT,169,1.00,original_corpus
ROR,sun,original,ROR,230,1.00,original_corpus
ROSOBA,forest,places,ROS,175,0.70,markov_generation
RSAM,prepare,original,RSA,200,1.00,original_corpus
RSAPMI,heaven (extended),extended,RSA,268,0.50,markov_extension
RSORSCOR,wood,materials,RSO,369,0.70,morphological_derivation > prepare + drunken
RURD,run,original,RUR,205,1.00,original_corpus
RURDZAR,planet (extended),extended,RUR,318,0.50,markov_extension
RZUZI,being,existential,RZU,176,0.70,morphological_derivation > arise + being/am
S,fourth,original,S,4,1.00,original_corpus
SAALX,mouth,body,SAA,440,0.70,markov_generation
SAANIR,parts,original,SAA,226,1.00,original_corpus
SAD,heart (extended),extended,SAD,13,0.50,markov_extension
SADIX,beast,beings,SAD,473,0.70,markov_generation
SAGLE,twelve (extended),extended,SAG,53,0.50,markov_extension
SALD,divided,original,SAL,37,1.00,original_corpus
SALDUL,crystal,materials,SAL,63,0.70,morphological_derivation > divided + end/rising
SALMAN,house,original,SAL,180,1.00,original_corpus
SAPAH,mighty sounds,original,SAP,25,1.00,original_corpus
SAR,form (extended),extended,SAR,110,0.50,markov_extension
SIBSI,covenant,original,SIB,133,1.00,original_corpus
SOBA,whose,original,SOB,45,1.00,original_corpus
SOBAL,whose,original,SOB,69,1.00,original_corpus
SOBALP,rest (extended),extended,SOB,77,0.50,markov_extension
SOBALZORSA,day (extended),extended,SOB,216,0.50,markov_extension
SOBAM,whose,original,SOB,135,1.00,original_corpus
SOBCA,whose (variant),original,SOB,46,1.00,original_corpus
SOBCAILT,without,directions,SOB,139,0.70,morphological_derivation > whose (variant) + seat/place
SOBELZA,law (extended),extended,SOB,85,0.50,markov_extension
SOBL,crystal (extended),extended,SOB,63,0.50,markov_extension
SOBLIANU,time,temporal,SOB,181,0.70,markov_generation
SOBOLD,sacred (extended),extended,SOB,96,0.50,markov_extension
SOBOLN,the west,original,SOB,143,1.00,original_corpus
SOBOOANU,despair (extended),extended,SOB,157,0.50,markov_extension
SOBZI,hundred,numbers,SOB,106,0.70,morphological_derivation > whose + being/am
SOLISAAN,wise (extended),extended,SOL,184,0.50,markov_extension
SOLNAZ,iron (extended),extended,SOL,121,0.50,markov_extension
SOLOCH,throne (extended),extended,SOL,90,0.50,markov_extension
SOLOGPAMIC,blood (extended),extended,SOL,263,0.50,markov_extension
SOLPETH,hearken,original,SOL,85,1.00,original_corpus
SOLPIAH,bright (extended),extended,SOL,133,0.50,markov_extension
SOND,mouth (extended),extended,SON,87,0.50,markov_extension
SONF,reign,original,SON,92,1.00,original_corpus
SONRELZIRE,angel (extended),extended,SON,393,0.50,markov_extension
SOZ,truth (extended),extended,SOZ,41,0.50,markov_extension
T,it,original,T,9,1.00,original_corpus
TA,as,original,TA,15,1.00,original_corpus
TAA,pronoun form (TA),grammar,TA,21,0.60,pronoun_generation
TAAN,pronoun form (TA),grammar,TA,71,0.60,pronoun_generation
TAB,bird (extended),extended,TAB,20,0.50,markov_extension
TABAAN,governor,original,TAB,82,1.00,original_corpus
TABALPOIAI,forest (extended),extended,TAB,214,0.50,markov_extension
TABGES,cave,original,TAB,43,1.00,original_corpus
TABRALTOL,head (extended),extended,TAB,213,0.50,markov_extension
TAI,pronoun form (TA),grammar,TA,75,0.60,pronoun_generation
TAIS,pronoun form (TA),grammar,TA,79,0.60,pronoun_generation
TALHO,cups,original,TAL,70,1.00,original_corpus
TALZACORSA,giant (extended),extended,TAL,193,0.50,markov_extension
TAO,pronoun form (TA),grammar,TA,45,0.60,pronoun_generation
TAX,spirit (extended),extended,TAX,415,0.50,markov_extension
TAXS,twenty-two,original,TAX,419,1.00,original_corpus
TBOG,"reign (imperative, third person)",verb,BOG,54,0.70,verb_conjugation > imperative > third person
TBOGAH,"reign (perfect, third person)",verb,BOG,61,0.70,verb_conjugation > perfect > third person
TBOGAR,"reign (present, third person)",verb,BOG,160,0.70,verb_conjugation > present > third person
TBOGIZI,"reign (past, third person)",verb,BOG,181,0.70,verb_conjugation > past > third person
TBOGOLU,"reign (future, third person)",verb,BOG,110,0.70,verb_conjugation > future > third person
TDAR,"obey (imperative, third person)",verb,DAR,118,0.70,verb_conjugation > imperative > third person
TDARAH,"obey (perfect, third person)",verb,DAR,125,0.70,verb_conjugation > perfect > third person
TDARAR,"obey (present, third person)",verb,DAR,224,0.70,verb_conjugation > present > third person
TDARIZI,"obey (past, third person)",verb,DAR,245,0.70,verb_conjugation > past > third person
TDAROLU,"obey (future, third person)",verb,DAR,174,0.70,verb_conjugation > future > third person
TEL,eternity (extended),extended,TEL,42,0.50,markov_extension
TELH,bone (extended),extended,TEL,43,0.50,markov_extension
TELOC,death,original,TEL,73,1.00,original_corpus
TELOCH,him that is fallen,original,TEL,74,1.00,original_corpus
TELODO,two (extended),extended,TEL,105,0.50,markov_extension
TEOR,planet,cosmic,TEO,148,0.70,markov_generation
TGOH,"say (imperative, third person)",verb,GOH,50,0.70,verb_conjugation > imperative > third person
TGOHAH,"say (perfect, third person)",verb,GOH,57,0.70,verb_conjugation > perfect > third person
TGOHAR,"say (present, third person)",verb,GOH,156,0.70,verb_conjugation > present > third person
TGOHIZI,"say (past, third person)",verb,GOH,177,0.70,verb_conjugation > past > third person
TGOHOLU,"say (future, third person)",verb,GOH,106,0.70,verb_conjugation > future > third person
THICOR,earth,elements,THI,201,0.70,morphological_derivation > seat + drunken
THIL,seat,original,THI,94,1.00,original_corpus
THOMA,without (extended),extended,THO,136,0.50,markov_extension
TIAG,twelve,numbers,TIA,85,0.70,markov_generation
TIAGIMP,speak (extended),extended,TIA,243,0.50,markov_extension
TIANTA,bed of,original,TIA,140,1.00,original_corpus
TIN,east,directions,TIN,119,0.70,markov_generation
TIOBL,bed,original,TIO,128,1.00,original_corpus
TIP,it,original,TIP,77,1.00,original_corpus
TIPIR,wind,elements,TIP,237,0.70,morphological_derivation > it + mercy/peace
TIPSAM,listen (extended),extended,TIP,177,0.50,markov_extension
TMIC,"behold (imperative, third person)",verb,MIC,160,0.70,verb_conjugation > imperative > third person
TMICAH,"behold (perfect, third person)",verb,MIC,167,0.70,verb_conjugation > perfect > third person
TMICAR,"behold (present, third person)",verb,MIC,266,0.70,verb_conjugation > present > third person
TMICIZI,"behold (past, third person)",verb,MIC,287,0.70,verb_conjugation > past > third person
TMICOLU,"behold (future, third person)",verb,MIC,216,0.70,verb_conjugation > future > third person
TNII,"come (imperative, third person)",verb,NII,179,0.70,verb_conjugation > imperative > third person
TNIIAH,"come (perfect, third person)",verb,NII,186,0.70,verb_conjugation > perfect > third person
TNIIAR,"come (present, third person)",verb,NII,285,0.70,verb_conjugation > present > third person
TNIIIZI,"come (past, third person)",verb,NII,306,0.70,verb_conjugation > past > third person
TNIIOLU,"come (future, third person)",verb,NII,235,0.70,verb_conjugation > future > third person
TOH,transform,actions,TOH,40,0.70,markov_generation
TOHE,law,abstract,TOH,49,0.70,markov_generation
TOHOLN,eternity,temporal,TOH,144,0.70,markov_generation
TOL,all,original,TOL,63,1.00,original_corpus
TOLD,zero (extended),extended,TOL,66,0.50,markov_extension
TOLONSG,peace (extended),extended,TOL,157,0.50,markov_extension
TOLORG,age (extended),extended,TOL,203,0.50,markov_extension
TOLPONPH,water,elements,TOL,160,0.70,markov_generation
TOLTORG,all creatures,original,TOL,212,1.00,original_corpus
TOMP,"understand (imperative, third person)",verb,OMP,137,0.70,verb_conjugation > imperative > third person
TOMPAH,"understand (perfect, third person)",verb,OMP,144,0.70,verb_conjugation > perfect > third person
TOMPAR,"understand (present, third person)",verb,OMP,243,0.70,verb_conjugation > present > third person
TOMPIZI,"understand (past, third person)",verb,OMP,264,0.70,verb_conjugation > past > third person
TOMPOLU,"understand (future, third person)",verb,OMP,193,0.70,verb_conjugation > future > third person
TOOAT,furnish,original,TOO,84,1.00,original_corpus
TORAH,"arise (perfect, general)",verb,TOR,146,0.70,verb_conjugation > perfect > general
TORANAINTS,spirit (extended),extended,TOR,324,0.50,markov_extension
TORAR,"arise (present, general)",verb,TOR,245,0.70,verb_conjugation > present > general
TORIZI,"arise (past, general)",verb,TOR,266,0.70,verb_conjugation > past > general
TOROLU,"arise (future, general)",verb,TOR,195,0.70,verb_conjugation > future > general
TORSA,sun,cosmic,TOR,149,0.70,markov_generation
TORSADIX,storm,elements,TOR,612,0.70,markov_generation
TORSADNANI,eternal (extended),extended,TOR,318,0.50,markov_extension
TORSB,rise,actions,TOR,148,0.70,markov_generation
TORZU,arise,original,TOR,148,1.00,original_corpus
TORZUL,risen,original,TOR,172,1.00,original_corpus
TORZULP,arise unto,original,TOR,180,1.00,original_corpus
TOSGIMARG,bright,qualities,TOS,319,0.70,morphological_derivation > all/arising + day + steward/keeper
